Start,End,Open,High,Low,Close,Volume,Market Cap
26-02-2025,27-02-2025,88600.08,89398.46,82402.48,84000,99646076735,1.73E+12
25-02-2025,26-02-2025,91725.79,92516.4,86329.96,88797.34,1.04E+11,1.77E+12
24-02-2025,25-02-2025,96247.37,96496.49,91453.66,91453.66,42915703252,1.88E+12
23-02-2025,24-02-2025,96525.93,96649.99,95261.67,96247.99,28491898335,1.90E+12
22-02-2025,23-02-2025,96007.97,96874.02,95804.04,96551.04,62605448426,1.91188E+12
21-02-2025,22-02-2025,98405.09,99433.96,95005.59,96161.18,55048598577,1.93709E+12
20-02-2025,21-02-2025,96655.17,98684.87,96496.28,98386.99,46556523352,1.93102E+12
19-02-2025,20-02-2025,95611.05,96824.87,95041.74,96559.3,57227125160,1.90142E+12
18-02-2025,19-02-2025,95872.11,96639.7,93494.19,95532.97,46646393398,1.89096E+12
17-02-2025,18-02-2025,96158.2,96928.96,95233.09,95811.35,35606804164,1.90393E+12
16-02-2025,17-02-2025,97608.91,97702.41,96126.98,96126.98,24935455180,1.9258E+12
15-02-2025,16-02-2025,97441.96,97964.82,97286.16,97551.71,43880503846,1.93353E+12
14-02-2025,15-02-2025,96634.17,98629.06,96322.62,97483.36,48799409931,1.9235E+12
13-02-2025,14-02-2025,97692.8,98062.17,95360.04,96551.64,63136043802,1.91033E+12
12-02-2025,13-02-2025,95885.71,98044.11,94336.27,97799.93,58173352163,1.90745E+12
11-02-2025,12-02-2025,97467.69,98424.33,94926.49,95783.6,46753246914,1.92545E+12
10-02-2025,11-02-2025,96782.88,98215.75,95499.98,97372.05,53325970817,1.92599E+12
09-02-2025,10-02-2025,96442.54,97278.04,94807.91,96515.22,32116590763,1.91271E+12
08-02-2025,09-02-2025,96447.9,96847.82,95717.84,96544.97,62373810394,1.9082E+12
07-02-2025,08-02-2025,96755.94,100023,95661.12,96503.93,67990905957,1.92808E+12
06-02-2025,07-02-2025,96806.37,99108.31,95885.57,96586.85,60696114351,1.93161E+12
05-02-2025,06-02-2025,97979.89,98876.15,96296.48,96594.39,81517859048,1.93688E+12
04-02-2025,05-02-2025,101443,101613,96332.98,98027.99,1.0108E+11,1.96734E+12
03-02-2025,04-02-2025,97418.2,102289,92692.13,101371,1.30618E+11,1.91796E+12
02-02-2025,03-02-2025,100604,101386,96763.02,97584.89,53761921060,1.96373E+12
01-02-2025,02-02-2025,102318,102760,100288,100649,53430949037,2.02076E+12
