Date,Dataset,Predicted Price,Trend
2020-01-03,processed_ds1,33964.047,No Trend
2020-01-04,processed_ds1,32400.604,Decrease
2020-01-05,processed_ds1,32286.736,Decrease
2020-01-06,processed_ds1,33906.098,Increase
2020-01-07,processed_ds1,33922.19,Increase
2020-01-08,processed_ds1,32291.242,Decrease
2020-01-09,processed_ds1,31809.121,Decrease
2020-01-10,processed_ds1,33734.574,Increase
2020-01-11,processed_ds1,31965.89,Decrease
2020-01-12,processed_ds1,32920.59,Increase
2020-01-13,processed_ds1,32155.812,Decrease
2020-01-14,processed_ds1,35561.5,Increase
2020-01-15,processed_ds1,32497.064,Decrease
2020-01-16,processed_ds1,32253.498,Decrease
2020-01-17,processed_ds1,33078.81,Increase
2020-01-18,processed_ds1,32498.627,Decrease
2020-01-19,processed_ds1,32139.256,Decrease
2020-01-20,processed_ds1,32294.629,Increase
2020-01-21,processed_ds1,32752.12,Increase
2020-01-22,processed_ds1,32324.785,Decrease
2020-01-23,processed_ds1,31815.1,Decrease
2020-01-24,processed_ds1,32576.303,Increase
2020-01-25,processed_ds1,32147.275,Decrease
2020-01-26,processed_ds1,33306.934,Increase
2020-01-27,processed_ds1,33338.074,Increase
2020-01-28,processed_ds1,34351.477,Increase
2020-01-29,processed_ds1,32343.262,Decrease
2020-01-30,processed_ds1,33189.28,Increase
2020-01-31,processed_ds1,32205.102,Decrease
2020-02-01,processed_ds1,32629.701,Increase
2020-02-02,processed_ds1,32466.363,Decrease
2020-02-03,processed_ds1,32509.434,Increase
2020-02-04,processed_ds1,32259.127,Decrease
2020-02-05,processed_ds1,33996.02,Increase
2020-02-06,processed_ds1,33064.023,Decrease
2020-02-07,processed_ds1,32709.951,Decrease
2020-02-08,processed_ds1,32836.06,Increase
2020-02-09,processed_ds1,33334.754,Increase
2020-02-10,processed_ds1,32025.988,Decrease
2020-02-11,processed_ds1,33864.395,Increase
2020-02-12,processed_ds1,32897.348,Decrease
2020-02-13,processed_ds1,32533.951,Decrease
2020-02-14,processed_ds1,32931.81,Increase
2020-02-15,processed_ds1,31836.674,Decrease
2020-02-16,processed_ds1,32760.76,Increase
2020-02-17,processed_ds1,32172.299,Decrease
2020-02-18,processed_ds1,34157.707,Increase
2020-02-19,processed_ds1,31685.072,Decrease
2020-02-20,processed_ds1,32579.88,Increase
2020-02-21,processed_ds1,32799.977,Increase
2020-02-22,processed_ds1,32499.27,Decrease
2020-02-23,processed_ds1,33428.934,Increase
2020-02-24,processed_ds1,32057.955,Decrease
2020-02-25,processed_ds1,31830.53,Decrease
2020-02-26,processed_ds1,31541.666,Decrease
2020-02-27,processed_ds1,32634.672,Increase
2020-02-28,processed_ds1,32262.605,Decrease
2020-02-29,processed_ds1,32073.363,Decrease
2020-03-01,processed_ds1,32490.307,Increase
2020-03-02,processed_ds1,33774.434,Increase
2020-03-03,processed_ds1,32125.396,Decrease
2020-03-04,processed_ds1,32458.895,Increase
2020-03-05,processed_ds1,33502.855,Increase
2020-03-06,processed_ds1,32715.857,Decrease
2020-03-07,processed_ds1,31939.43,Decrease
2020-03-08,processed_ds1,30924.06,Decrease
2020-03-09,processed_ds1,32246.004,Increase
2020-03-10,processed_ds1,32355.295,Increase
2020-03-11,processed_ds1,32591.92,Increase
2020-03-12,processed_ds1,30199.973,Decrease
2020-03-13,processed_ds1,37670.47,Increase
2020-03-14,processed_ds1,31013.537,Decrease
2020-03-15,processed_ds1,33417.5,Increase
2020-03-16,processed_ds1,31557.107,Decrease
2020-03-17,processed_ds1,33502.61,Increase
2020-03-18,processed_ds1,32655.562,Decrease
2020-03-19,processed_ds1,37401.766,Increase
2020-03-20,processed_ds1,32963.336,Decrease
2020-03-21,processed_ds1,32344.043,Decrease
2020-03-22,processed_ds1,31285.742,Decrease
2020-03-23,processed_ds1,36067.086,Increase
2020-03-24,processed_ds1,33495.62,Decrease
2020-03-25,processed_ds1,32171.041,Decrease
2020-03-26,processed_ds1,32427.303,Increase
2020-03-27,processed_ds1,31317.922,Decrease
2020-03-28,processed_ds1,31790.182,Increase
2020-03-29,processed_ds1,31148.307,Decrease
2020-03-30,processed_ds1,35051.707,Increase
2020-03-31,processed_ds1,32275.365,Decrease
2020-04-01,processed_ds1,33310.79,Increase
2020-04-02,processed_ds1,33085.934,Decrease
2020-04-03,processed_ds1,32149.574,Decrease
2020-04-04,processed_ds1,32735.145,Increase
2020-04-05,processed_ds1,31972.332,Decrease
2020-04-06,processed_ds1,34997.652,Increase
2020-04-07,processed_ds1,31921.697,Decrease
2020-04-08,processed_ds1,32935.156,Increase
2020-04-09,processed_ds1,32093.178,Decrease
2020-04-10,processed_ds1,31268.883,Decrease
2020-04-11,processed_ds1,32262.104,Increase
2020-04-12,processed_ds1,32532.033,Increase
2020-04-13,processed_ds1,32063.32,Decrease
2020-04-14,processed_ds1,32296.23,Increase
2020-04-15,processed_ds1,31597.744,Decrease
2020-04-16,processed_ds1,34512.062,Increase
2020-04-17,processed_ds1,32088.096,Decrease
2020-04-18,processed_ds1,32995.688,Increase
2020-04-19,processed_ds1,31938.027,Decrease
2020-04-20,processed_ds1,31529.102,Decrease
2020-04-21,processed_ds1,32263.979,Increase
2020-04-22,processed_ds1,33361.09,Increase
2020-04-23,processed_ds1,34005.43,Increase
2020-04-24,processed_ds1,32363.672,Decrease
2020-04-25,processed_ds1,32472.346,Increase
2020-04-26,processed_ds1,32784.297,Increase
2020-04-27,processed_ds1,32608.467,Decrease
2020-04-28,processed_ds1,32265.697,Decrease
2020-04-29,processed_ds1,37206.426,Increase
2020-04-30,processed_ds1,32484.271,Decrease
2020-05-01,processed_ds1,33129.53,Increase
2020-05-02,processed_ds1,32918.055,Decrease
2020-05-03,processed_ds1,32384.326,Decrease
2020-05-04,processed_ds1,32544.953,Increase
2020-05-05,processed_ds1,32892.707,Increase
2020-05-06,processed_ds1,33040.348,Increase
2020-05-07,processed_ds1,35897.29,Increase
2020-05-08,processed_ds1,32237.498,Decrease
2020-05-09,processed_ds1,32062.928,Decrease
2020-05-10,processed_ds1,31402.373,Decrease
2020-05-11,processed_ds1,32381.355,Increase
2020-05-12,processed_ds1,33270.562,Increase
2020-05-13,processed_ds1,34284.19,Increase
2020-05-14,processed_ds1,34251.832,Decrease
2020-05-15,processed_ds1,31692.537,Decrease
2020-05-16,processed_ds1,32777.85,Increase
2020-05-17,processed_ds1,33575.938,Increase
2020-05-18,processed_ds1,32813.664,Decrease
2020-05-19,processed_ds1,32782.066,Decrease
2020-05-20,processed_ds1,32069.096,Decrease
2020-05-21,processed_ds1,31730.406,Decrease
2020-05-22,processed_ds1,32871.64,Increase
2020-05-23,processed_ds1,32557.3,Decrease
2020-05-24,processed_ds1,31591.734,Decrease
2020-05-25,processed_ds1,33016.44,Increase
2020-05-26,processed_ds1,32378.664,Decrease
2020-05-27,processed_ds1,33700.633,Increase
2020-05-28,processed_ds1,33806.934,Increase
2020-05-29,processed_ds1,32217.49,Decrease
2020-05-30,processed_ds1,33383.418,Increase
2020-05-31,processed_ds1,32036.871,Decrease
2020-06-01,processed_ds1,35414.508,Increase
2020-06-02,processed_ds1,31504.871,Decrease
2020-06-03,processed_ds1,32972.547,Increase
2020-06-04,processed_ds1,32995.555,Increase
2020-06-05,processed_ds1,32207.102,Decrease
2020-06-06,processed_ds1,32687.521,Increase
2020-06-07,processed_ds1,32849.33,Increase
2020-06-08,processed_ds1,32670.943,Decrease
2020-06-09,processed_ds1,32599.72,Decrease
2020-06-10,processed_ds1,32921.973,Increase
2020-06-11,processed_ds1,31544.682,Decrease
2020-06-12,processed_ds1,33096.223,Increase
2020-06-13,processed_ds1,32551.164,Decrease
2020-06-14,processed_ds1,32244.646,Decrease
2020-06-15,processed_ds1,32908.777,Increase
2020-06-16,processed_ds1,32833.05,Decrease
2020-06-17,processed_ds1,32452.088,Decrease
2020-06-18,processed_ds1,32363.582,Decrease
2020-06-19,processed_ds1,32352.455,Decrease
2020-06-20,processed_ds1,32670.775,Increase
2020-06-21,processed_ds1,32362.318,Decrease
2020-06-22,processed_ds1,33845.684,Increase
2020-06-23,processed_ds1,32419.992,Decrease
2020-06-24,processed_ds1,31894.088,Decrease
2020-06-25,processed_ds1,32442.479,Increase
2020-06-26,processed_ds1,32322.164,Decrease
2020-06-27,processed_ds1,32177.816,Decrease
2020-06-28,processed_ds1,32855.895,Increase
2020-06-29,processed_ds1,32697.697,Decrease
2020-06-30,processed_ds1,32369.717,Decrease
2020-07-01,processed_ds1,32790.215,Increase
2020-07-02,processed_ds1,32194.998,Decrease
2020-07-03,processed_ds1,32425.096,Increase
2020-07-04,processed_ds1,32686.021,Increase
2020-07-05,processed_ds1,32388.135,Decrease
2020-07-06,processed_ds1,33303.934,Increase
2020-07-07,processed_ds1,32318.795,Decrease
2020-07-08,processed_ds1,33041.203,Increase
2020-07-09,processed_ds1,32085.934,Decrease
