Date,Dataset,Predicted Price,Trend
2020-01-04,processed_ds3,31494.148,No Trend
2020-01-05,processed_ds3,30138.111,Decrease
2020-01-06,processed_ds3,30085.365,Decrease
2020-01-07,processed_ds3,31699.09,Increase
2020-01-08,processed_ds3,31537.684,Decrease
2020-01-09,processed_ds3,30089.734,Decrease
2020-01-10,processed_ds3,29642.512,Decrease
2020-01-11,processed_ds3,31349.434,Increase
2020-01-12,processed_ds3,29823.637,Decrease
2020-01-13,processed_ds3,30592.875,Increase
2020-01-14,processed_ds3,30078.145,Decrease
2020-01-15,processed_ds3,33238.066,Increase
2020-01-16,processed_ds3,30222.738,Decrease
2020-01-17,processed_ds3,30063.133,Decrease
2020-01-18,processed_ds3,30841.256,Increase
2020-01-19,processed_ds3,30288.15,Decrease
2020-01-20,processed_ds3,29994.88,Decrease
2020-01-21,processed_ds3,30145.324,Increase
2020-01-22,processed_ds3,30639.506,Increase
2020-01-23,processed_ds3,30151.723,Decrease
2020-01-24,processed_ds3,29782.832,Decrease
2020-01-25,processed_ds3,30442.361,Increase
2020-01-26,processed_ds3,30120.18,Decrease
2020-01-27,processed_ds3,31024.873,Increase
2020-01-28,processed_ds3,31238.014,Increase
2020-01-29,processed_ds3,31694.418,Increase
2020-01-30,processed_ds3,30227.562,Decrease
2020-01-31,processed_ds3,30949.066,Increase
2020-02-01,processed_ds3,30057.707,Decrease
2020-02-02,processed_ds3,30514.244,Increase
2020-02-03,processed_ds3,30328.754,Decrease
2020-02-04,processed_ds3,30352.422,Increase
2020-02-05,processed_ds3,30150.9,Decrease
2020-02-06,processed_ds3,31705.75,Increase
2020-02-07,processed_ds3,30786.959,Decrease
2020-02-08,processed_ds3,30543.611,Decrease
2020-02-09,processed_ds3,30647.65,Increase
2020-02-10,processed_ds3,31042.463,Increase
2020-02-11,processed_ds3,30018.375,Decrease
2020-02-12,processed_ds3,31514.152,Increase
2020-02-13,processed_ds3,30669.092,Decrease
2020-02-14,processed_ds3,30297.154,Decrease
2020-02-15,processed_ds3,30686.791,Increase
2020-02-16,processed_ds3,29809.85,Decrease
2020-02-17,processed_ds3,30610.758,Increase
2020-02-18,processed_ds3,29976.713,Decrease
2020-02-19,processed_ds3,31680.512,Increase
2020-02-20,processed_ds3,29641.5,Decrease
2020-02-21,processed_ds3,30291.25,Increase
2020-02-22,processed_ds3,30544.885,Increase
2020-02-23,processed_ds3,30355.078,Decrease
2020-02-24,processed_ds3,31109.666,Increase
2020-02-25,processed_ds3,29997.273,Decrease
2020-02-26,processed_ds3,29941.541,Decrease
2020-02-27,processed_ds3,29538.393,Decrease
2020-02-28,processed_ds3,30260.943,Increase
2020-02-29,processed_ds3,30231.2,Decrease
2020-03-01,processed_ds3,29877.693,Decrease
2020-03-02,processed_ds3,30301.98,Increase
2020-03-03,processed_ds3,31342.17,Increase
2020-03-04,processed_ds3,29967.791,Decrease
2020-03-05,processed_ds3,30256.164,Increase
2020-03-06,processed_ds3,31178.031,Increase
2020-03-07,processed_ds3,30434.215,Decrease
2020-03-08,processed_ds3,29801.7,Decrease
2020-03-09,processed_ds3,29059.332,Decrease
2020-03-10,processed_ds3,29890.309,Increase
2020-03-11,processed_ds3,30099.418,Increase
2020-03-12,processed_ds3,30249.066,Increase
2020-03-13,processed_ds3,27569.197,Decrease
2020-03-14,processed_ds3,34992.895,Increase
